SYSET	Word	W1	W2	DEF_SYNT
102895154	aegis	armor	plate	 (S1 (NP (NP (NN armor)(NN plate))(SBAR (WHNP (WDT that))(S (VP (VBZ protects)(NP (DT the)(NN chest)))))))# 
109507909	Aengus	Celtic	god	 (S1 (NP (NP (NNP Celtic)(NNP god))(PP (IN of)(NP (NN love)(CC and)(NN beauty)))))# 
109507909	Aengus	patron	deity	 (S1 (NP (NP (NN patron)(NN deity))(PP (IN of)(NP (JJ young)(NNS men)(CC and)(NNS women)))))# 
112768177	Aesculus	southeastern	Europe	 (S1 (NP (NNP southeastern)(NNP Europe)))#(S1 (NP (NNP eastern)(NNP Asia)))# 
101176335	affray	noisy	fight	 (S1 (NP (DT a)(NN noisy)(NN fight)))# 
102683692	afterdeck	deck	abaft	 (S1 (NP (NP (DT a)(NN deck)(NN abaft))(PP (IN of)(NP (NNS midships)))))# 
114900184	agar	culture	medium	 (S1 (NP (NP (DT any)(NN culture)(NN medium))(SBAR (WHNP (WDT that))(S (VP (VBZ uses)(NP (NN agar))(PP (IN as)(NP (DT the)(NN gelling)(NN agent))))))))# 
111647131	Agathis	kauri	pine	 (S1 (NP (NNP kauri)(NNP pine)))# 
112104943	Agropyron	dog	grass	 (S1 (NP (NN dog)(NN grass)))# 
101646388	agua	toad	species	 (S1 (NP (ADJP (JJS largest)(VBN known))(NN toad)(NNS species)))# 
109532101	Ahriman	arch	rival	 (S1 (NP (NP (NN arch)(NN rival))(PP (IN of)(NP (NNP Ormazd)))))# 
109826605	airwoman	woman	aviator	 (S1 (NP (DT a)(NN woman)(NN aviator)))# 
101951721	Akeridae	bubble	shells	 (S1 (NP (NN bubble)(NNS shells)))# 
109130452	Akron	rubber	industry	 (S1 (NP (NP (NP (DT the)(NN heart))(PP (IN of)(NP (DT the)(NNP United)(NNPS States))))(NN rubber)(NN industry)))# 
109076533	Albany	processing	center	 (S1 (NP (NP (NN processing)(NN center))(PP (IN for)(NP (NNS peanuts)(CC and)(NNS pecans)))))# 
109118313	Albany	state	capital	 (S1 (NP (NP (NN state)(NN capital))(PP (IN of)(NP (NNP New)(NNP York)))))# 
112429770	albuca	South	Africa	 (S1 (NP (NNP South)(NNP Africa)))# 
110811900	Alcaeus	lyric	poet	 (S1 (NP (NP (JJ Greek)(NN lyric)(NN poet))(PP (IN of)(NP (NNP Lesbos)))))# 
101801753	Alectura	brush	turkeys	 (S1 (NP (NN brush)(NNS turkeys)))# 
102544086	Alepisaurus	slender	scaleless	 (S1 (NP (NP (NN slender)(NN scaleless))(NP (JJ predaceous)(JJ tropical)(JJ deep-sea)(NNS fishes))))# 
102531114	alewife	food	fish	 (S1 (NP (NP (JJ shad-like)(NN food)(NN fish))(SBAR (WHNP (WDT that))(S (VP (VBZ runs)(S (NP (NNS rivers))(VP (TO to)(VP (VB spawn)))))))))# 
112493208	algarroba	evergreen	Mediterranean	 (S1 (NP (NP (NNP evergreen)(NNP Mediterranean))(NP (NP (NN tree))(PP (IN with)(NP (JJ edible)(NNS pods))))))# 
111700864	allspice	eastern	China	 (S1 (NP (NNP eastern)(NNP China)))# 
114716358	Alnico	trade	name	 (S1 (NP (NP (NN trade)(NN name))(PP (IN for)(NP (NP (DT an)(NN alloy))(VP (VBN used)(S (VP (TO to)(VP (VB make)(NP (JJ high-energy)(JJ permanent)(NNS magnets))))))))))# 
106497459	alphabet	character	set	 (S1 (NP (NP (DT a)(NN character)(NN set))(SBAR (WHNP (WDT that))(S (VP (VP (VBZ includes)(NP (NNS letters)))(CC and)(VP (AUX is)(VP (VBN used)(S (VP (TO to)(VP (VB write)(NP (DT a)(NN language))))))))))))# 
106500262	alphanumerics	character	set	 (S1 (NP (NP (DT a)(NN character)(NN set))(SBAR (WHNP (WDT that))(S (VP (VBZ includes)(NP (NP (NNS letters))(CC and)(NP (NNS digits)(CC and)(NN punctuation))))))))# 
104986526	alto	pitch	range	 (S1 (NP (NP (DT the)(NN pitch)(NN range))(PP (IN of)(NP (DT the)(JJS lowest)(JJ female)(NN voice)))))# 
109787878	ambassadress	woman	ambassador	 (S1 (NP (DT a)(NN woman)(NN ambassador)))# 
107610502	ambrosia	fruit	dessert	 (S1 (NP (NP (NN fruit)(NN dessert))(VP (VBN made)(PP (IN of)(NP (NP (NNS oranges))(CC and)(NP (NP (NNS bananas))(PP (IN with)(NP (JJ shredded)(NN coconut)))))))))# 
109511519	Amen-Ra	supreme	god	 (S1 (NP (NP (NNP supreme)(NNP god))(PP (IN of)(NP (DT the)(NN universe)(SBAR (IN in)(S (NP (WP whom)(NP (UH Amen))(CC and)(NP (NNP Ra)))(VP (AUX were)(VP (VBN merged)))))))))# 
102618244	Ammodytidae	sand	lances	 (S1 (NP (NN sand)(NNS lances)))# 
114743840	ammonia	water	solution	 (S1 (NP (NP (DT a)(NN water)(NN solution))(PP (IN of)(NP (NN ammonia)))))# 
101391569	Amoebida	animal	order	 (S1 (NP (NP (DT the)(NN animal)(NN order))(PP (VBG including)(NP (NNS amoebas)))))# 
101391569	Amoebina	animal	order	 (S1 (NP (NP (DT the)(NN animal)(NN order))(PP (VBG including)(NP (NNS amoebas)))))# 
109511519	Amon-Ra	supreme	god	 (S1 (NP (NP (NNP supreme)(NNP god))(PP (IN of)(NP (DT the)(NN universe)(SBAR (IN in)(S (NP (WP whom)(NP (UH Amen))(CC and)(NP (NNP Ra)))(VP (AUX were)(VP (VBN merged)))))))))# 
101992516	Amphipoda	skeleton	shrimp	 (S1 (NP (NN skeleton)(NN shrimp)))# 
102705651	ampicillin	semisynthetic	penicillin	 (S1 (NP (NP (NNP semisynthetic)(NNP penicillin))(PRN (-LRB- -LRB-)(NP (NP (NN trade)(NNS names)(NNP Principen)(CC and)(NNP Polycillin))(CC and)(NP (NNP SK-Ampicillin)))(-RRB- -RRB-))))# 
112758639	Anacardiaceae	cashew	family	 (S1 (NP (DT the)(NN cashew)(NN family)))# 
111870916	Anastatica	resurrection	plant	 (S1 (NP (NN resurrection)(NN plant)))# 
109792896	ancestress	woman	ancestor	 (S1 (NP (DT a)(NN woman)(NN ancestor)))# 
109792969	anchor	television	reporter	 (S1 (NP (NP (DT a)(NN television)(NN reporter))(SBAR (WHNP (WP who))(S (VP (VBZ coordinates)(NP (NP (DT a)(NN broadcast))(SBAR (WHPP (TO to)(WHNP (WDT which)))(S (NP (JJ several)(NNS correspondents))(VP (VBP contribute))))))))))# 
109792969	anchorman	television	reporter	 (S1 (NP (NP (DT a)(NN television)(NN reporter))(SBAR (WHNP (WP who))(S (VP (VBZ coordinates)(NP (NP (DT a)(NN broadcast))(SBAR (WHPP (TO to)(WHNP (WDT which)))(S (NP (JJ several)(NNS correspondents))(VP (VBP contribute))))))))))# 
109792969	anchorperson	television	reporter	 (S1 (NP (NP (DT a)(NN television)(NN reporter))(SBAR (WHNP (WP who))(S (VP (VBZ coordinates)(NP (NP (DT a)(NN broadcast))(SBAR (WHPP (TO to)(WHNP (WDT which)))(S (NP (JJ several)(NNS correspondents))(VP (VBP contribute))))))))))# 
101949684	Ancylidae	freshwater	gastropod	 (S1 (NP (NN freshwater)(NN gastropod)))# 
110818088	Andrew	patron	saint	 (S1 (NP (NP (NN patron)(NN saint))(PP (IN of)(NP (NNP Scotland)))))# 
102605936	angelfish	butterfly	fish	 (S1 (NP (NP (DT a)(NN butterfly)(NN fish))(PP (IN of)(NP (DT the)(JJ genus)(NNP Pomacanthus)))))# 
114108039	angina	heart	condition	 (S1 (NP (NP (DT a)(NN heart)(NN condition))(VP (VBN marked)(PP (IN by)(NP (NP (NNS paroxysms))(PP (IN of)(NP (NN chest)(NN pain)))(ADJP (JJ due)(PP (TO to)(NP (NP (VBN reduced)(NN oxygen))(PP (TO to)(NP (DT the)(NN heart)))))))))))# 
102711573	angiogram	X-ray	representation	 (S1 (NP (NP (DT an)(NN X-ray)(NN representation))(PP (IN of)(NP (NP (NN blood)(NNS vessels))(VP (VBN made)(PP (IN after)(NP (NP (DT the)(NN injection))(PP (IN of)(NP (DT a)(JJ radiopaque)(NN substance))))))))))# 
101689226	Anguidae	alligator	lizards	 (S1 (NP (NN alligator)(NNS lizards)))# 
109507909	Angus	Celtic	god	 (S1 (NP (NP (NNP Celtic)(NNP god))(PP (IN of)(NP (NN love)(CC and)(NN beauty)))))# 
109507909	Angus	patron	deity	 (S1 (NP (NP (NN patron)(NN deity))(PP (IN of)(NP (JJ young)(NNS men)(CC and)(NNS women)))))# 
109094217	Annapolis	state	capital	 (S1 (NP (NP (NN state)(NN capital))(PP (IN of)(NP (NNP Maryland)))))# 
106426468	annual	reference	book	 (S1 (NP (NP (DT a)(NN reference)(NN book))(SBAR (WHNP (WDT that))(S (VP (AUX is)(VP (VBN published)(ADVP (RB regularly))(ADVP (RB once)(NP (DT every)(NN year)))))))))# 
102409038	anoa	small	buffalo	 (S1 (NP (NP (NNP small)(NNP buffalo))(PP (IN of)(S (NP (DT the)(NNPS Celebes))(VP (AUXG having)(NP (JJ small)(JJ straight)(NNS horns)))))))# 
101965111	Anodonta	freshwater	mussels	 (S1 (NP (JJ thin-shelled)(NN freshwater)(NNS mussels)))# 
102201252	Anopheles	malaria	mosquitoes	 (S1 (NP (NN malaria)(NNS mosquitoes)))# 
101995137	Anostraca	brine	shrimps	 (S1 (NP (NN brine)(NNS shrimps)))# 
114503234	anoxemia	oxygen	content	 (S1 (NP (NP (ADJP (RB abnormally)(JJ low))(NN oxygen)(NN content))(PP (IN in)(NP (JJ arterial)(NN blood)))))# 
109511712	Anpu	Egyptian	god	 (S1 (NP (NP (NNP Egyptian)(NNP god))(PP (IN of)(NP (NP (NNS tombs))(CC and)(NP (NP (NN ruler))(PP (IN of)(NP (DT the)(NN underworld))))))))# 
107200527	answer	speech	act	 (S1 (NP (NP (DT the)(NN speech)(NN act))(PP (IN of)(S (VP (VBG replying)(PP (TO to)(NP (DT a)(NN question))))))))# 
111923016	Anthemis	dog	fennel	 (S1 (NP (NN dog)(NN fennel)))# 
114725444	anthophyllite	iron	silicate	 (S1 (NP (JJ magnesium)(NN iron)(NN silicate)))# 
101914163	anthozoan	marine	coelenterates	 (S1 (NP (NP (JJ sessile)(NN marine)(NNS coelenterates))(PP (VBG including)(NP (JJ solitary)(CC and)(JJ colonial)(NNS polyps)))))# 
114150210	anthracosis	lung	disease	 (S1 (NP (NP (NN lung)(NN disease))(VP (VBN caused)(PP (IN by)(S (VP (VBG inhaling)(NP (NN coal)(NN dust))))))))# 
105403702	antiserum	blood	serum	 (S1 (NP (NP (NN blood)(NN serum))(VP (VBG containing)(NP (NP (NNS antibodies))(PP (IN against)(NP (JJ specific)(NNS antigens)))))))# 
109515570	Anu	Babylonian	god	 (S1 (NP (NP (NNP Babylonian)(NNP god))(PP (IN of)(NP (DT the)(NN sky)))))# 
109511712	Anubis	Egyptian	god	 (S1 (NP (NP (NNP Egyptian)(NNP god))(PP (IN of)(NP (NP (NNS tombs))(CC and)(NP (NP (NN ruler))(PP (IN of)(NP (DT the)(NN underworld))))))))# 
109200874	Apennines	mountain	range	 (S1 (NP (NP (DT a)(NN mountain)(NN range))(VP (VBG extending)(NP (NP (DT the)(NN length))(PP (IN of)(NP (DT the)(JJ Italian)(NN peninsula)))))))# 
102252039	Aphidoidea	plant	lice	 (S1 (NP (NN plant)(NN lice)))# 
102363681	Aplodontiidae	mountain	beavers	 (S1 (NP (NN mountain)(NNS beavers)))# 
102571983	Apogonidae	marine	fishes	 (S1 (NP (NP (JJ bright-colored)(NN marine)(NNS fishes))(SBAR (WHNP (WDT that))(S (VP (VBP incubate)(NP (NNS eggs))(PP (IN in)(NP (DT the)(NN mouth))))))))# 
110421470	apothecary	health	professional	 (S1 (NP (NP (DT a)(NN health)(NN professional))(VP (VBN trained)(PP (IN in)(NP (NP (DT the)(NN art))(PP (IN of)(S (VP (VBG preparing)(CC and)(VBG dispensing)(NP (NNS drugs))))))))))# 
109201301	Appalachians	mountain	range	 (S1 (NP (NP (DT a)(NN mountain)(NN range))(PP (IN in)(NP (NP (DT the)(JJ eastern)(NNP United)(NNPS States))(VP (VBG extending)(PP (PP (IN from)(NP (NNP Quebec)))(PP (TO to)(NP (NP (DT the)(NNP Gulf))(PP (IN of)(NP (NNP Mexico)))))))))))# 
106570647	applet	application	program	 (S1 (NP (NP (DT an)(NN application)(NN program))(SBAR (WHNP (WDT that))(S (VP (VBZ uses)(SBAR (S (NP (DT the)(NN client))('' '')(VP (VBZ s)(NP (NP (CD web)(NN browser))(SBAR (S (VP (TO to)(VP (VB provide)(NP (DT a)(NN user))(NP (NNP interface))))))))))))
100633329	application	diligent	effort	 (S1 (NP (DT a)(NN diligent)(NN effort)))# 
111727091	aquilege	temperate	regions	 (S1 (NP (NP (NNP north)(NN temperate)(NNS regions))(ADVP (RB especially)(NP (NNS mountains)))))# 
111727091	aquilegia	temperate	regions	 (S1 (NP (NP (NNP north)(NN temperate)(NNS regions))(ADVP (RB especially)(NP (NNS mountains)))))# 
111778534	Araceae	calla	lily	 (S1 (NP (NN calla)(NN lily)))# 
109203032	Ararat	mountain	peak	 (S1 (NP (NP (DT the)(NN mountain)(NN peak))(SBAR (WHNP (IN that))(S (NP (NNP Noah)('' '')(NNP s)(NNP ark))(VP (VBD landed)(PRT (RP on))(SBAR (IN as)(S (NP (NP (DT the)(NNS waters))(PP (IN of)(NP (DT the)(JJ great)(NN flood))))(VP (VBD receded)))))))))# 
102077023	Arctocephalus	fur	seals	 (S1 (NP (NN fur)(NNS seals)))# 
102007721	Ardeidae	night	herons	 (S1 (NP (NN night)(NNS herons)))# 
102736511	arena	playing	field	 (S1 (NP (NP (DT a)(NN playing)(NN field))(SBAR (WHADVP (WRB where))(S (NP (NNS sports)(NNS events))(VP (VBP take)(NP (NN place)))))))# 
101330497	arenavirus	animal	viruses	 (S1 (NP (NP (NN animal)(NNS viruses))(VP (VBG belonging)(PP (TO to)(NP (DT the)(NN family)(NNP Arenaviridae))))))# 
114986144	argent	metal	tincture	 (S1 (NP (NP (DT a)(NN metal)(NN tincture))(VP (VBN used)(PP (IN in)(NP (NN heraldry)))(S (VP (TO to)(VP (VB give)(NP (DT a)(JJ silvery)(NN appearance))))))))# 
102284771	Argyrotaenia	orange	tortrix	 (S1 (NP (NNP orange)(NNP tortrix)))# 
111843709	Ariocarpus	southern	Texas	 (S1 (NP (NNP southern)(NNP Texas)))# 
101991233	Armadillidiidae	pill	bugs	 (S1 (NP (NN pill)(NNS bugs)))# 
112108742	Arrhenatherum	oat	grass	 (S1 (NP (NN oat)(NN grass)))# 
106629610	arrivederci	farewell	remark	 (S1 (NP (DT a)(NN farewell)(NN remark)))# 
101596761	Artamidae	wood	swallows	 (S1 (NP (NN wood)(NNS swallows)))# 
101995323	Artemia	fairy	shrimp	 (S1 (NP (NN fairy)(NN shrimp)))#(S1 (NP (NN brine)(NN shrimp)))# 
105333777	arteria	blood	vessel	 (S1 (NP (NP (DT a)(NN blood)(NN vessel))(SBAR (WHNP (WDT that))(S (VP (VBZ carries)(NP (NP (NN blood))(PP (IN from)(NP (NP (DT the)(NN heart))(PP (TO to)(NP (DT the)(NN body)))))))))))# 
105333777	artery	blood	vessel	 (S1 (NP (NP (DT a)(NN blood)(NN vessel))(SBAR (WHNP (WDT that))(S (VP (VBZ carries)(NP (NP (NN blood))(PP (IN from)(NP (NP (DT the)(NN heart))(PP (TO to)(NP (DT the)(NN body)))))))))))# 
114150363	asbestosis	lung	disease	 (S1 (NP (NP (NN lung)(NN disease))(VP (VBN caused)(PP (IN by)(S (VP (VBG inhaling)(NP (NN asbestos)(NNS particles))))))))# 
113023292	Ascomycota	sac	fungi	 (S1 (NP (NN sac)(NNS fungi)))# 
113023292	Ascomycotina	sac	fungi	 (S1 (NP (NN sac)(NNS fungi)))# 
104259771	asdic	measuring	instrument	 (S1 (NP (NP (DT a)(NN measuring)(NN instrument))(SBAR (WHNP (WDT that))(S (VP (VP (VBZ sends)(PRT (RP out))(NP (NP (DT an)(JJ acoustic)(NN pulse))(PP (IN in)(NP (NN water)))))(CC and)(VP (VBZ measures)(NP (NP (NNS distances))(PP (IN in)(NP (NP (NNS terms
109516146	Ashir	chief	god	 (S1 (NP (NP (NNP chief)(NNP god))(PP (IN of)(NP (DT the)(NNPS Assyrians)))))# 
109516146	Ashur	chief	god	 (S1 (NP (NP (NNP chief)(NNP god))(PP (IN of)(NP (DT the)(NNPS Assyrians)))))# 
105146055	assessment	market	value	 (S1 (NP (NP (DT the)(NN market)(NN value))(VP (VBN set)(PP (IN on)(NP (NNS assets))))))# 
114629561	astatine	decay	product	 (S1 (NP (NP (DT a)(NN decay)(NN product))(PP (IN of)(NP (NN uranium)(CC and)(NN thorium)))))# 
114629561	At	decay	product	 (S1 (NP (NP (DT a)(NN decay)(NN product))(PP (IN of)(NP (NN uranium)(CC and)(NN thorium)))))# 
109076982	Athens	university	town	 (S1 (NP (NP (DT a)(NN university)(NN town))(PP (IN in)(NP (RB northeast)(NNP Georgia)))))# 
102757810	audiotape	tape	recording	 (S1 (NP (NP (DT a)(NN tape)(NN recording))(PP (IN of)(NP (NN sound)))))# 
105657718	audition	auditory	faculty	 (S1 (NP (DT the)(NN auditory)(NN faculty)))# 
110828990	Augustus	Roman	statesman	 (S1 (NP (NP (NNP Roman)(NNP statesman))(SBAR (WHNP (WP who))(S (VP (VP (VBD established)(NP (DT the)(NNP Roman)(NNP Empire)))(CC and)(VP (VBD became)(NP (NN emperor))(PP (IN in)(NP (CD 27)(CD BC)))))))))# 
109824065	authoress	woman	author	 (S1 (NP (DT a)(NN woman)(NN author)))# 
102958343	auto	motor	vehicle	 (S1 (NP (NP (DT a)(NN motor)(NN vehicle))(PP (IN with)(NP (CD four)(NNS wheels)))))# 
100710550	autogenics	training	patients	 (S1 (NP (NP (NN training)(NNS patients))(PP (IN in)(NP (JJ self-induced)(NN relaxation)))))# 
102760855	automatic	machine	gun	 (S1 (NP (JJ light)(NN machine)(NN gun)))# 
102303917	Automeris	io	moth	 (S1 (NP (NNP io)(NNP moth)))# 
102958343	automobile	motor	vehicle	 (S1 (NP (NP (DT a)(NN motor)(NN vehicle))(PP (IN with)(NP (CD four)(NNS wheels)))))# 
114745057	auxin	plant	hormone	 (S1 (NP (NP (DT a)(NN plant)(NN hormone))(SBAR (WHNP (WDT that))(S (VP (VBZ promotes)(NP (NP (NN root)(NN formation))(CC and)(NP (NNP bud)(NN growth))))))))# 
112499757	avaram	evergreen	Indian	 (S1 (NP (NP (NNP evergreen)(NNP Indian))(NP (NP (NN shrub))(PP (IN with)(NP (NP (JJ vivid)(JJ yellow)(NNS flowers))(SBAR (WHNP (WP whose)(NN bark))(S (VP (AUX is)(VP (VBN used)(PP (IN in)(NP (NN tanning))))))))))))# 
109826605	aviatress	woman	aviator	 (S1 (NP (DT a)(NN woman)(NN aviator)))# 
109826605	aviatrix	woman	aviator	 (S1 (NP (DT a)(NN woman)(NN aviator)))# 
105468849	axon	nerve	fiber	 (S1 (NP (NP (JJ long)(NN nerve)(NN fiber))(SBAR (WHNP (WDT that))(S (VP (VBZ conducts)(ADVP (RB away)(PP (IN from)(NP (NP (DT the)(NN cell)(NN body))(PP (IN of)(NP (DT the)(NN neuron)))))))))))# 
105468849	axone	nerve	fiber	 (S1 (NP (NP (JJ long)(NN nerve)(NN fiber))(SBAR (WHNP (WDT that))(S (VP (VBZ conducts)(ADVP (RB away)(PP (IN from)(NP (NP (DT the)(NN cell)(NN body))(PP (IN of)(NP (DT the)(NN neuron)))))))))))# 
114770248	azide	chemical	compound	 (S1 (NP (NP (DT a)(NN chemical)(NN compound))(VP (VBG containing)(NP (NP (DT the)(NN azido)(NN group))(VP (VBN combined)(PP (IN with)(UCP (NP (DT an)(NN element))(CC or)(ADJP (JJ radical)))))))))# 
105400978	B	blood	group	 (S1 (NP (NP (DT the)(NN blood)(NN group))(SBAR (WHNP (WP whose)(JJ red)(NNS cells))(S (VP (VBP carry)(NP (DT the)(NNP B)(NN antigen)))))))# 
106777794	backchat	teasing	repartee	 (S1 (NP (JJ light)(NN teasing)(NN repartee)))# 
100502822	backgammon	board	game	 (S1 (NP (NP (DT a)(NN board)(NN game))(PP (IN for)(NP (CD two)(NNS players)))))# 
102770078	backplate	plate	armor	 (S1 (NP (NP (NN plate)(NN armor))(VP (VBG protecting)(NP (DT the)(NN back)))))# 
100571283	backstroke	swimming	stroke	 (S1 (NP (NP (DT a)(NN swimming)(NN stroke))(SBAR (WHNP (WDT that))(S (VP (VBZ resembles)(NP (DT the)(NN crawl))(SBAR (IN except)(S (NP (DT the)(NN swimmer))(VP (VBZ lies)(PP (IN on)(NP (PRP his)(CC or)(PRP her)(NN back)))))))))))# 
114772185	bacteriacide	chemical	agent	 (S1 (NP (NP (DT any)(NN chemical)(NN agent))(SBAR (WHNP (WDT that))(S (VP (VBZ destroys)(NP (NNS bacteria)))))))# 
114772185	bactericide	chemical	agent	 (S1 (NP (NP (DT any)(NN chemical)(NN agent))(SBAR (WHNP (WDT that))(S (VP (VBZ destroys)(NP (NNS bacteria)))))))# 
110832415	Balenciaga	fashion	designer	 (S1 (NP (NP (JJ Spanish)(NN fashion)(NN designer))(VP (VBN known)(PP (IN for)(NP (NP (PRP his)(JJ stark)(JJ elegant)(NNS designs))(PRN (-LRB- -LRB-)(NP (CD 1895-1972))(-RRB- -RRB-)))))))# 
106378298	ballad	narrative	poem	 (S1 (NP (NP (DT a)(NN narrative)(NN poem))(PP (IN of)(NP (JJ popular)(NN origin)))))# 
