ID	Word	W1	W2	DEF_SYNT
11	huff	blow	hard	(S1 (S (VP (VB blow) (ADVP (RB hard) (CC and) (RB loudly)))))#
12	chuff	blow	hard	(S1 (S (VP (VB blow) (ADVP (RB hard) (CC and) (RB loudly)))))#
13	insufflate	breathe	hard	(S1 (S (VP (VP (VB blow)) (CC or) (VP (VB breathe) (ADVP (RB hard)) (PP (IN on) (CC or) (PP (IN into)))))))#
14	sniff	inhale	audibly	(S1 (S (VP (VB inhale) (ADVP (RB audibly)) (PP (IN through) (NP (DT the) (NN nose))))))#
15	sniffle	inhale	audibly	(S1 (S (VP (VB inhale) (ADVP (RB audibly)) (PP (IN through) (NP (DT the) (NN nose))))))#
16	freeze	behave	coldly	(S1 (S (ADVP (RB suddenly)) (VP (VB behave) (ADVP (RB coldly) (CC and) (RB formally)))))#
17	wanton	behave	extremely	(S1 (S (VP (VB behave) (ADVP (RB extremely) (RB cruelly) (CC and) (RB brutally)))))#
18	bungle	behaving	clumsily	(S1 (S (VP (VB spoil) (PP (IN by) (S (VP (VBG behaving) (ADVP (RB clumsily) (CC or) (RB foolishly))))))))#
19	sleep	be	asleep	(S1 (S (VP (VB be) (ADVP (RB asleep)))))#
20	kip	be	asleep	(S1 (S (VP (VB be) (ADVP (RB asleep)))))#
21	slumber	be	asleep	(S1 (S (VP (VB be) (ADVP (RB asleep)))))#
22	oversleep	sleep	longer	(S1 (S (VP (VB sleep) (ADVP (ADVP (RBR longer)) (SBAR (IN than) (S (VP (VBN intended))))))))#
23	snore	breathe	noisily	(S1 (S (VP (VB breathe) (ADVP (RB noisily)) (PP (IN during) (NP (NP (CD one) (POS 's)) (NN sleep))))))#
24	reawaken	awaken	once	(S1 (S (VP (VB awaken) (ADVP (RB once) (RB again)))))#
25	affect	act	physically	(S1 (S (S (VP (VB act) (ADVP (RB physically) (RB on)))) (: ;) (S (VP (VB have) (NP (DT an) (NN effect)) (PP (IN upon))))))#
26	crane	see	better	(S1 (S (VP (VB stretch) (PRN (-LRB- -LRB-) (NP (DT the) (NN neck)) (-RRB- -RRB-)) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB see) (ADVP (RB better)))))))))#
27	beam	smile	radiantly	(S1 (S (S (VP (VBP smile) (ADVP (RB radiantly)))) (: ;) (S (VP (VB express) (NP (NN joy)) (PP (IN through) (NP (NP (CD one) (POS 's)) (JJ facial) (NN expression)))))))#
28	smirk	smile	affectedly	(S1 (S (VP (VBP smile) (ADVP (RB affectedly) (CC or) (RB derisively)))))#
29	simper	smile	affectedly	(S1 (S (VP (VBP smile) (ADVP (RB affectedly) (CC or) (RB derisively)))))#
30	fleer	smirk	contemptuously	(S1 (S (VP (TO to) (VP (VB smirk) (ADVP (RB contemptuously))))))#
31	bray	laugh	loudly	(S1 (S (VP (VB laugh) (ADVP (RB loudly) (CC and) (RB harshly)))))#
32	roar	laugh	unrestrainedly	(S1 (S (VP (VB laugh) (ADVP (RB unrestrainedly) (CC and) (RB heartily)))))#
33	howl	laugh	unrestrainedly	(S1 (S (VP (VB laugh) (ADVP (RB unrestrainedly) (CC and) (RB heartily)))))#
34	snicker	laugh	quietly	(S1 (S (VP (VB laugh) (ADVP (RB quietly)))))#
35	snigger	laugh	quietly	(S1 (S (VP (VB laugh) (ADVP (RB quietly)))))#
36	giggle	laugh	nervously	(S1 (S (VP (VB laugh) (ADVP (RB nervously)))))#
37	titter	laugh	nervously	(S1 (S (VP (VB laugh) (ADVP (RB nervously)))))#
38	guffaw	laugh	boisterously	(S1 (S (VP (VB laugh) (ADVP (RB boisterously)))))#
39	sneer	smile	contemptuously	(S1 (S (VP (VBP smile) (ADVP (RB contemptuously)))))#
40	dress	arrange	attractively	(S1 (S (VP (VB arrange) (ADVP (RB attractively)))))#
41	arrange	arrange	attractively	(S1 (S (VP (VB arrange) (ADVP (RB attractively)))))#
42	set	arrange	attractively	(S1 (S (VP (VB arrange) (ADVP (RB attractively)))))#
43	coif	arrange	attractively	(S1 (S (VP (VB arrange) (ADVP (RB attractively)))))#
44	coiffe	arrange	attractively	(S1 (S (VP (VB arrange) (ADVP (RB attractively)))))#
45	coiffure	arrange	attractively	(S1 (S (VP (VB arrange) (ADVP (RB attractively)))))#
46	gauffer	make	wavy	(S1 (S (VP (VB make) (ADVP (RB wavy)) (PP (IN with) (NP (DT a) (JJ heated) (NN goffering) (NN iron))))))#
47	goffer	make	wavy	(S1 (S (VP (VB make) (ADVP (RB wavy)) (PP (IN with) (NP (DT a) (JJ heated) (NN goffering) (NN iron))))))#
48	underdress	dress	informally	(S1 (S (VP (VB dress) (ADVP (RB informally) (CC and) (RB casually)))))#
49	overclothe	dress	too	(S1 (S (VP (VB dress) (ADVP (RB too) (RB warmly)))))#
50	vest	clothe	formally	(S1 (S (VP (VB clothe) (ADVP (RB formally)) (PRN (: ;) (ADVP (RB especially)) (PP (IN in) (NP (JJ ecclesiastical) (NNS robes)))))))#
51	robe	clothe	formally	(S1 (S (VP (VB clothe) (ADVP (RB formally)) (PRN (: ;) (ADVP (RB especially)) (PP (IN in) (NP (JJ ecclesiastical) (NNS robes)))))))#
52	propagate	multiply	sexually	(S1 (S (VP (VB multiply) (ADVP (RB sexually) (CC or) (RB asexually)))))#
53	pullulate	breed	freely	(S1 (S (VP (VB breed) (ADVP (RB freely) (CC and) (RB abundantly)))))#
54	soothe	feel	better	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB feel) (ADVP (RB better))))))))#
55	wail	cry	weakly	(S1 (S (VP (VB cry) (ADVP (RB weakly) (CC or) (RB softly)))))#
56	whimper	cry	weakly	(S1 (S (VP (VB cry) (ADVP (RB weakly) (CC or) (RB softly)))))#
57	mewl	cry	weakly	(S1 (S (VP (VB cry) (ADVP (RB weakly) (CC or) (RB softly)))))#
58	pule	cry	weakly	(S1 (S (VP (VB cry) (ADVP (RB weakly) (CC or) (RB softly)))))#
59	bawl	cry	loudly	(S1 (S (VP (VB cry) (ADVP (RB loudly)))))#
60	superfetate	is	already	(S1 (S (VP (VB conceive) (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NN fetus)) (VP (VBZ is) (ADVP (RB already)) (ADJP (JJ present)) (PP (IN in) (NP (DT the) (NN uterus)))))))))#
61	extravasate	pour	forth	(S1 (NP (NN geology) (: :) (S (VP (VBP cause) (NP (NP (JJ molten) (NN material)) (, ,) (PP (JJ such) (IN as) (NP (FW lava))) (, ,)) (S (VP (TO to) (VP (VB pour) (ADVP (RB forth)))))))))#
62	stream	exude	profusely	(S1 (S (VP (VBP exude) (ADVP (RB profusely)))))#
63	pull	strain	abnormally	(S1 (S (VP (VB strain) (ADVP (RB abnormally)))))#
64	overstretch	strain	abnormally	(S1 (S (VP (VB strain) (ADVP (RB abnormally)))))#
65	obstipate	constipate	severely	(S1 (S (VP (VB constipate) (ADVP (RB severely)))))#
66	frazzle	exhaust	physically	(S1 (S (VP (VB exhaust) (ADVP (RB physically) (CC or) (RB emotionally)))))#
67	gnash	grind	together	(S1 (S (VP (VB grind) (ADVP (RB together)) (, ,) (PP (IN of) (NP (NNS teeth))))))#
68	manipulate	treat	manually	(S1 (S (VP (VB treat) (ADVP (RB manually)) (, ,) (PP (IN as) (PP (IN with) (NP (NN massage)))) (, ,) (PP (IN for) (NP (JJ therapeutic) (NN purposed))))))#
69	digitalize	benefits	maximally	(S1 (S (NP (VB administer) (NNS digitalis)) (ADJP (JJ such) (SBAR (IN that) (S (NP (DT the) (NN patient)) (VP (VBZ benefits) (ADVP (RB maximally)) (PP (IN without) (S (VP (VBG getting) (NP (JJ adverse) (NNS effects)))))))))))#
70	medicate	treat	medicinally	(S1 (S (VP (VP (VB treat) (ADVP (RB medicinally))) (, ,) (VP (VB treat) (PP (IN with) (NP (NN medicine)))))))#
71	medicine	treat	medicinally	(S1 (S (VP (VP (VB treat) (ADVP (RB medicinally))) (, ,) (VP (VB treat) (PP (IN with) (NP (NN medicine)))))))#
72	mutilate	injure	severely	(S1 (S (VP (VB destroy) (CC or) (VB injure) (ADVP (RB severely)))))#
73	mar	injure	severely	(S1 (S (VP (VB destroy) (CC or) (VB injure) (ADVP (RB severely)))))#
74	maim	wound	seriously	(S1 (S (VP (VP (VB injure) (CC or) (VB wound) (ADVP (RB seriously))) (CC and) (VP (VB leave) (NP (JJ permanent) (NN disfiguration) (CC or) (NN mutilation))))))#
75	twist	twist	suddenly	(S1 (S (VP (VBP twist) (ADVP (RB suddenly) (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB sprain))))))))#
76	sprain	twist	suddenly	(S1 (S (VP (VBP twist) (ADVP (RB suddenly) (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB sprain))))))))#
77	wrench	twist	suddenly	(S1 (S (VP (VBP twist) (ADVP (RB suddenly) (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB sprain))))))))#
78	turn	twist	suddenly	(S1 (S (VP (VBP twist) (ADVP (RB suddenly) (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB sprain))))))))#
79	wrick	twist	suddenly	(S1 (S (VP (VBP twist) (ADVP (RB suddenly) (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB sprain))))))))#
80	rick	twist	suddenly	(S1 (S (VP (VBP twist) (ADVP (RB suddenly) (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB sprain))))))))#
81	subluxate	dislocate	slightly	(S1 (S (VP (VP (VB sprain)) (CC or) (VP (VB dislocate) (ADVP (RB slightly))))))#
82	disable	injure	permanently	(S1 (S (VP (VB injure) (ADVP (RB permanently)))))#
83	invalid	injure	permanently	(S1 (S (VP (VB injure) (ADVP (RB permanently)))))#
84	incapacitate	injure	permanently	(S1 (S (VP (VB injure) (ADVP (RB permanently)))))#
85	handicap	injure	permanently	(S1 (S (VP (VB injure) (ADVP (RB permanently)))))#
86	relapse	go	back	(S1 (S (VP (VB go) (ADVP (RB back) (PP (TO to) (NP (JJ bad) (NN behavior)))))))#
87	lapse	go	back	(S1 (S (VP (VB go) (ADVP (RB back) (PP (TO to) (NP (JJ bad) (NN behavior)))))))#
88	recidivate	go	back	(S1 (S (VP (VB go) (ADVP (RB back) (PP (TO to) (NP (JJ bad) (NN behavior)))))))#
89	regress	go	back	(S1 (S (VP (VB go) (ADVP (RB back) (PP (TO to) (NP (JJ bad) (NN behavior)))))))#
90	retrogress	go	back	(S1 (S (VP (VB go) (ADVP (RB back) (PP (TO to) (NP (JJ bad) (NN behavior)))))))#
91	regrow	grow	anew	(S1 (S (VP (VP (VB grow) (ADVP (RB anew))) (CC or) (VP (VB continue) (NP (NN growth)) (PP (IN after) (NP (NP (DT an) (NN injury)) (CC or) (NP (NN interruption))))))))#
92	spring	develop	suddenly	(S1 (S (VP (VB develop) (ADVP (RB suddenly)))))#
93	tumble	turn	skillfully	(S1 (S (VP (VP (VB do) (NP (NNS gymnastics))) (, ,) (VP (VB roll)) (CC and) (VP (VB turn) (ADVP (RB skillfully))))))#
94	refracture	was	previously	(S1 (NP (NP (NN break)) (PRN (-LRB- -LRB-) (NP (DT a) (NN bone)) (-RRB- -RRB-)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (ADVP (RB previously)) (VP (VBN broken) (CC but) (VBN mended) (PP (IN in) (NP (DT an) (JJ abnormal) (NN way)))))))))#
95	snuff	inhale	audibly	(S1 (S (VP (VB inhale) (ADVP (RB audibly)) (PP (IN through) (NP (DT the) (NN nose))))))#
96	speciate	evolve	so	(S1 (S (VP (VB evolve) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VP (VB lead) (PP (TO to) (NP (DT a) (JJ new) (NNS species)))) (CC or) (VP (VB develop) (PP (IN in) (NP (NP (DT a) (NN way)) (VP (ADVP (RBS most)) (VBN suited) (PP (TO to) (NP (DT the) (NN environment))))))))))))))#
97	specialize	evolve	so	(S1 (S (VP (VB evolve) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VP (VB lead) (PP (TO to) (NP (DT a) (JJ new) (NNS species)))) (CC or) (VP (VB develop) (PP (IN in) (NP (NP (DT a) (NN way)) (VP (ADVP (RBS most)) (VBN suited) (PP (TO to) (NP (DT the) (NN environment))))))))))))))#
98	specialise	evolve	so	(S1 (S (VP (VB evolve) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VP (VB lead) (PP (TO to) (NP (DT a) (JJ new) (NNS species)))) (CC or) (VP (VB develop) (PP (IN in) (NP (NP (DT a) (NN way)) (VP (ADVP (RBS most)) (VBN suited) (PP (TO to) (NP (DT the) (NN environment))))))))))))))#
99	jump	go	back	(S1 (S (S (VP (VB go) (ADVP (RB back) (CC and) (RB forth)))) (: ;) (S (VP (VB swing) (ADVP (RB back) (CC and) (RB forth)) (PP (IN between) (NP (NP (CD two) (NNS states)) (CC or) (NP (NNS conditions))))))))#
100	revolutionize	change	radically	(S1 (S (VP (VB change) (ADVP (RB radically)))))#
101	revolutionise	change	radically	(S1 (S (VP (VB change) (ADVP (RB radically)))))#
102	overturn	change	radically	(S1 (S (VP (VB change) (ADVP (RB radically)))))#
103	exchange	change	around	(S1 (S (S (VP (VB change) (PRT (RP over)))) (, ,) (S (VP (VB change) (ADVP (RB around)))) (, ,) (PP (IN as) (PP (TO to) (NP (DT a) (JJ new) (NN order) (CC or) (NN sequence))))))#
104	fall	pass	suddenly	(S1 (S (VP (VB pass) (ADVP (RB suddenly) (CC and) (RB passively)) (PP (IN into) (NP (NP (DT a) (NN state)) (PP (IN of) (NP (NN body) (CC or) (NN mind))))))))#
105	readjust	adjust	anew	(S1 (S (VP (VB adjust) (ADVP (RB anew)))))#
106	readapt	adjust	anew	(S1 (S (VP (VB adjust) (ADVP (RB anew)))))#
107	reconstruct	reform	socially	(S1 (S (VP (VP (VB cause) (S (NP (NN somebody)) (VP (TO to) (VP (VB adapt))))) (CC or) (VP (VB reform) (ADVP (RB socially) (CC or) (RB politically))))))#
108	taper	diminish	gradually	(S1 (S (VP (VB diminish) (ADVP (RB gradually)))))#
109	vanish	decrease	rapidly	(S1 (S (VP (VP (VB decrease) (ADVP (RB rapidly))) (CC and) (VP (VB disappear)))))#
110	fly	decrease	rapidly	(S1 (S (VP (VP (VB decrease) (ADVP (RB rapidly))) (CC and) (VP (VB disappear)))))#
111	vaporize	decrease	rapidly	(S1 (S (VP (VP (VB decrease) (ADVP (RB rapidly))) (CC and) (VP (VB disappear)))))#
112	soar	move	upward	(S1 (S (VP (VB go) (CC or) (VB move) (ADVP (RB upward)))))#
113	pyramid	increase	rapidly	(S1 (S (VP (VP (VB increase) (ADVP (RB rapidly))) (CC and) (ADVP (RB progressively)) (VP (VB step) (PP (IN by) (NP (NN step))) (PP (IN on) (NP (DT a) (JJ broad) (NN base)))))))#
114	acculturate	assimilate	culturally	(S1 (S (VP (VB assimilate) (ADVP (RB culturally)))))#
115	gentrify	renovate	so	(S1 (S (VP (VB renovate) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB make) (S (NP (PRP it)) (VP (VB conform) (PP (TO to) (NP (NN middle-class) (NNS aspirations))))))))))))#
116	bulletproof	make	bulletproof	(S1 (S (VP (VB make) (ADVP (RB bulletproof)))))#
117	feed	introduce	continuously	(S1 (S (VP (VB introduce) (ADVP (RB continuously)))))#
118	concatenate	joining	so	(S1 (S (VP (VB add) (PP (IN by) (S (VP (VBG linking) (CC or) (VBG joining) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB form) (NP (DT a) (NN chain) (CC or) (NN series))))))))))))#
119	compound	add	together	(S1 (S (VP (VB put) (CC or) (VB add) (ADVP (RB together)))))#
120	combine	add	together	(S1 (S (VP (VB put) (CC or) (VB add) (ADVP (RB together)))))#
121	better	get	better	(S1 (S (VP (VB get) (ADVP (RB better)))))#
122	improve	get	better	(S1 (S (VP (VB get) (ADVP (RB better)))))#
123	ameliorate	get	better	(S1 (S (VP (VB get) (ADVP (RB better)))))#
124	meliorate	get	better	(S1 (S (VP (VB get) (ADVP (RB better)))))#
125	inundate	cover	completely	(S1 (S (VP (VB fill) (CC or) (VB cover) (ADVP (RB completely)) (, ,) (ADVP (RB usually)) (PP (IN with) (NP (NN water))))))#
126	deluge	cover	completely	(S1 (S (VP (VB fill) (CC or) (VB cover) (ADVP (RB completely)) (, ,) (ADVP (RB usually)) (PP (IN with) (NP (NN water))))))#
127	submerge	cover	completely	(S1 (S (VP (VB fill) (CC or) (VB cover) (ADVP (RB completely)) (, ,) (ADVP (RB usually)) (PP (IN with) (NP (NN water))))))#
128	die	be	damned	(S1 (S (S (VP (VB suffer) (NP (JJ spiritual) (NN death)))) (: ;) (S (VP (VB be) (ADVP (RB damned)) (PRN (-LRB- -LRB-) (PP (IN in) (NP (DT the) (JJ religious) (NN sense))) (-RRB- -RRB-))))))#
129	potentiate	act	synergistically	(S1 (S (VP (VP (VB increase) (NP (NP (DT the) (NN effect)) (PP (IN of)))) (CC or) (VP (VB act) (ADVP (RB synergistically)) (PP (IN with) (NP (-LRB- -LRB-) (NP (NP (DT a) (NN drug)) (CC or) (NP (DT a) (ADJP (JJ physiological) (CC or) (JJ biochemical)) (NN phenomenon))) (-RRB- -RRB-)))))))#
130	retouch	alter	so	(S1 (S (VP (VB alter) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB produce) (NP (DT a) (ADJP (RBR more) (JJ desirable)) (NN appearance)))))))))#
131	mushroom	spread	fast	(S1 (S (VP (VP (VB grow)) (CC and) (VP (VB spread) (ADVP (RB fast))))))#
132	pare	decrease	gradually	(S1 (S (VP (VB decrease) (ADVP (RB gradually) (CC or) (RB bit)) (PP (IN by) (NP (NN bit))))))#
133	blast	mature	imperfectly	(S1 (S (VP (VP (VB shrivel)) (CC or) (VP (VBP wither) (CC or) (VBP mature) (ADVP (RB imperfectly))))))#
134	weld	unite	closely	(S1 (S (VP (VB unite) (ADVP (RB closely) (CC or) (RB intimately)))))#
135	triple	increase	threefold	(S1 (S (VP (VB increase) (ADVP (RB threefold)))))#
136	treble	increase	threefold	(S1 (S (VP (VB increase) (ADVP (RB threefold)))))#
137	quintuple	increase	fivefold	(S1 (S (VP (VB increase) (ADVP (RB fivefold)))))#
138	proliferate	increase	rapidly	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VP (VB grow)) (CC or) (VP (VB increase) (ADVP (RB rapidly)))))))))#
139	swell	expand	abnormally	(S1 (S (VP (VB expand) (ADVP (RB abnormally)))))#
140	intumesce	expand	abnormally	(S1 (S (VP (VB expand) (ADVP (RB abnormally)))))#
141	tumefy	expand	abnormally	(S1 (S (VP (VB expand) (ADVP (RB abnormally)))))#
142	tumesce	expand	abnormally	(S1 (S (VP (VB expand) (ADVP (RB abnormally)))))#
143	copolymerize	polymerize	together	(S1 (S (VP (VB polymerize) (ADVP (RB together)))))#
144	copolymerise	polymerize	together	(S1 (S (VP (VB polymerize) (ADVP (RB together)))))#
145	mobilize	move	around	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB move) (ADVP (RB around))))))))#
146	mobilise	move	around	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB move) (ADVP (RB around))))))))#
147	circulate	move	around	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB move) (ADVP (RB around))))))))#
148	teach	accustom	gradually	(S1 (S (VP (VB accustom) (ADVP (RB gradually)) (PP (TO to) (NP (DT some) (NN action) (CC or) (NN attitude))))))#
149	postdate	being	later	(S1 (S (VP (VB establish) (NP (NN something)) (PP (IN as) (S (VP (VBG being) (ADVP (RB later)) (ADVP (JJ relative) (PP (TO to) (NP (NN something) (RB else))))))))))#
150	recode	rearrange	mentally	(S1 (S (S (VP (VB put) (PP (IN into) (NP (DT a) (JJ different) (NN code))))) (: ;) (S (VP (VB rearrange) (ADVP (RB mentally))))))#
151	serialize	arrange	serially	(S1 (S (VP (VB arrange) (ADVP (RB serially)))))#
152	serialise	arrange	serially	(S1 (S (VP (VB arrange) (ADVP (RB serially)))))#
153	mangle	injure	severely	(S1 (S (VP (VB destroy) (CC or) (VB injure) (ADVP (RB severely)))))#
154	reset	adjust	again	(S1 (S (VP (VB adjust) (ADVP (RB again)) (PP (IN after) (NP (DT an) (JJ initial) (NN failure))))))#
155	tweak	adjust	finely	(S1 (S (VP (VB adjust) (ADVP (RB finely)))))#
156	burst	burst	outward	(S1 (S (VP (VBP burst) (ADVP (RB outward)) (, ,) (ADVP (RB usually)) (PP (IN with) (NP (NN noise))))))#
157	boom	grow	vigorously	(S1 (S (VP (VB grow) (ADVP (RB vigorously)))))#
158	thrive	grow	vigorously	(S1 (S (VP (VB grow) (ADVP (RB vigorously)))))#
159	flourish	grow	vigorously	(S1 (S (VP (VB grow) (ADVP (RB vigorously)))))#
160	luxuriate	thrive	profusely	(S1 (S (VP (VP (VB thrive) (ADVP (RB profusely))) (CC or) (VP (VB flourish) (ADVP (RB extensively))))))#
161	obliterate	remove	completely	(S1 (S (VP (VB remove) (ADVP (RB completely)) (PP (IN from) (NP (NN recognition) (CC or) (NN memory))))))#
162	efface	remove	completely	(S1 (S (VP (VB remove) (ADVP (RB completely)) (PP (IN from) (NP (NN recognition) (CC or) (NN memory))))))#
163	refocus	put	again	(S1 (S (VP (VP (VB put) (ADVP (RB again)) (PP (IN into) (NP (NN focus)))) (CC or) (VP (VB focus) (NP (JJR more)) (ADVP (RB sharply))))))#
164	deafen	make	soundproof	(S1 (S (VP (VB make) (ADVP (RB soundproof)))))#
165	lengthen	become	long	(S1 (S (VP (VB become) (ADVP (RB long) (CC or) (RB longer)))))#
166	prolong	last	longer	(S1 (S (S (VP (VB lengthen) (PP (IN in) (NP (NN time))))) (: ;) (S (VP (VB cause) (S (VP (TO to) (VP (VB be) (CC or) (VB last) (ADVP (RBR longer)))))))))#
167	protract	last	longer	(S1 (S (S (VP (VB lengthen) (PP (IN in) (NP (NN time))))) (: ;) (S (VP (VB cause) (S (VP (TO to) (VP (VB be) (CC or) (VB last) (ADVP (RBR longer)))))))))#
168	elongate	make	long	(S1 (S (VP (VB make) (ADVP (RB long) (CC or) (RB longer)) (PP (IN by) (S (VP (VBG pulling) (CC and) (VBG stretching)))))))#
169	overcook	cook	too	(S1 (S (VP (VB cook) (ADVP (RB too) (RB long)))))#
170	bust	break	open	(S1 (S (VP (VB break) (ADVP (RB open) (CC or) (RB apart)) (ADVP (RB suddenly) (CC and) (RB forcefully)))))#
171	smash	break	suddenly	(S1 (S (VP (VB break) (ADVP (RB suddenly)) (PP (IN into) (NP (NP (NNS pieces)) (, ,) (PP (IN as) (PP (IN from) (NP (DT a) (JJ violent) (NN blow)))))))))#
172	snap	break	suddenly	(S1 (S (S (VP (VB break) (ADVP (RB suddenly)))) (CC and) (ADVP (RB abruptly)) (, ,) (PP (IN as) (PP (IN under) (NP (NN tension))))))#
173	anticipate	occur	earlier	(S1 (S (VP (VP (VB be) (NP (NP (DT a) (NN forerunner)) (PP (IN of)))) (CC or) (VP (VB occur) (ADVP (RBR earlier) (IN than))))))#
174	recur	occur	again	(S1 (S (VP (VP (VB happen)) (CC or) (VP (VB occur) (ADVP (RB again))))))#
175	repeat	occur	again	(S1 (S (VP (VP (VB happen)) (CC or) (VP (VB occur) (ADVP (RB again))))))#
176	iterate	performed	again	(S1 (S (VP (VB run) (CC or) (VB be) (VP (VBN performed) (ADVP (RB again))))))#
177	concur	happen	simultaneously	(S1 (S (VP (VB happen) (ADVP (RB simultaneously)))))#
178	coincide	happen	simultaneously	(S1 (S (VP (VB happen) (ADVP (RB simultaneously)))))#
179	recommence	begin	again	(S1 (S (VP (VB begin) (ADVP (RB again)))))#
180	jumpstart	re-start	vigorously	(S1 (S (VP (VP (VB start)) (CC or) (VP (VB re-start) (ADVP (RB vigorously))))))#
181	jump-start	re-start	vigorously	(S1 (S (VP (VP (VB start)) (CC or) (VP (VB re-start) (ADVP (RB vigorously))))))#
182	resume	begin	anew	(S1 (S (VP (VP (VB take) (PRT (RP up))) (CC or) (VP (VB begin) (ADVP (RB anew))))))#
183	restart	begin	anew	(S1 (S (VP (VP (VB take) (PRT (RP up))) (CC or) (VP (VB begin) (ADVP (RB anew))))))#
184	re-start	begin	anew	(S1 (S (VP (VP (VB take) (PRT (RP up))) (CC or) (VP (VB begin) (ADVP (RB anew))))))#
185	obstinate	persist	stubbornly	(S1 (S (VP (VB persist) (ADVP (RB stubbornly)))))#
186	predecease	die	before	(S1 (S (S (VP (VBP die) (ADVP (RB before)))) (: ;) (S (VP (VBP die) (ADVP (RBR earlier) (IN than))))))#
187	sublime	condense	right	(S1 (S (VP (VP (VB vaporize)) (CC and) (ADVP (RB then)) (VP (VB condense) (ADVP (RB right) (RB back) (RB again))))))#
188	sublimate	condense	right	(S1 (S (VP (VP (VB vaporize)) (CC and) (ADVP (RB then)) (VP (VB condense) (ADVP (RB right) (RB back) (RB again))))))#
189	converge	come	together	(S1 (S (VP (VBN come) (ADVP (RB together)) (SBAR (RB so) (IN as) (S (VP (TO to) (VP (VB form) (NP (DT a) (JJ single) (NN product)))))))))#
190	federate	band	together	(S1 (S (VP (VP (VB unite) (PP (IN on) (NP (DT a) (JJ federal) (NN basis)))) (CC or) (VP (VB band) (ADVP (RB together)) (PP (IN as) (NP (DT a) (NN league)))))))#
191	federalize	band	together	(S1 (S (VP (VP (VB unite) (PP (IN on) (NP (DT a) (JJ federal) (NN basis)))) (CC or) (VP (VB band) (ADVP (RB together)) (PP (IN as) (NP (DT a) (NN league)))))))#
