ID	Word	W1	W2	DEF_SYNT
35	hypnotise	induce	hypnosis	(S1 (S (VP (VB induce) (NP (NNS hypnosis)) (PP (IN in)))))#
36	mesmerize	induce	hypnosis	(S1 (S (VP (VB induce) (NP (NNS hypnosis)) (PP (IN in)))))#
37	mesmerise	induce	hypnosis	(S1 (S (VP (VB induce) (NP (NNS hypnosis)) (PP (IN in)))))#
38	anesthetize	administer	drug	(S1 (S (VP (VB administer) (NP (DT an) (JJ anesthetic) (NN drug)) (PP (TO to)))))#
39	anaesthetize	administer	drug	(S1 (S (VP (VB administer) (NP (DT an) (JJ anesthetic) (NN drug)) (PP (TO to)))))#
40	anesthetise	administer	drug	(S1 (S (VP (VB administer) (NP (DT an) (JJ anesthetic) (NN drug)) (PP (TO to)))))#
41	anaesthetise	administer	drug	(S1 (S (VP (VB administer) (NP (DT an) (JJ anesthetic) (NN drug)) (PP (TO to)))))#
42	sedate	administering	sedative	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB be) (ADJP (JJ calm) (CC or) (JJ quiet)) (PP (IN as) (PP (IN by) (S (VP (VBG administering) (NP (DT a) (NN sedative)) (PP (TO to))))))))))))#
43	calm	administering	sedative	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB be) (ADJP (JJ calm) (CC or) (JJ quiet)) (PP (IN as) (PP (IN by) (S (VP (VBG administering) (NP (DT a) (NN sedative)) (PP (TO to))))))))))))#
44	tranquilize	administering	sedative	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB be) (ADJP (JJ calm) (CC or) (JJ quiet)) (PP (IN as) (PP (IN by) (S (VP (VBG administering) (NP (DT a) (NN sedative)) (PP (TO to))))))))))))#
45	tranquillize	administering	sedative	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB be) (ADJP (JJ calm) (CC or) (JJ quiet)) (PP (IN as) (PP (IN by) (S (VP (VBG administering) (NP (DT a) (NN sedative)) (PP (TO to))))))))))))#
46	tranquillise	administering	sedative	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB be) (ADJP (JJ calm) (CC or) (JJ quiet)) (PP (IN as) (PP (IN by) (S (VP (VBG administering) (NP (DT a) (NN sedative)) (PP (TO to))))))))))))#
47	perk	regain	energy	(S1 (S (VP (VB gain) (CC or) (VB regain) (NP (NN energy)))))#
48	percolate	regain	energy	(S1 (S (VP (VB gain) (CC or) (VB regain) (NP (NN energy)))))#
49	animate	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
50	recreate	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
51	reanimate	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
52	renovate	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
53	repair	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
54	quicken	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
55	vivify	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
56	revivify	give	life	(S1 (S (VP (VB give) (NP (JJ new) (NN life) (CC or) (NN energy)) (PP (TO to)))))#
57	lave	wash	face	(S1 (S (VP (VB wash) (NP (NP (CD one) (POS 's)) (NN face) (CC and) (NNS hands)))))#
58	decompress	take	ease	(S1 (S (VP (VP (VB become) (ADJP (RBR less) (JJ tense))) (, ,) (VP (VB rest)) (, ,) (CC or) (VP (VB take) (NP (NP (CD one) (POS 's)) (NN ease))))))#
59	stretch	extend	limbs	(S1 (S (VP (VB extend) (NP (NP (NP (CD one) (POS 's)) (NNS limbs) (CC or) (NNS muscles)) (, ,) (CC or) (NP (DT the) (JJ entire) (NN body))))))#
60	extend	extend	limbs	(S1 (S (VP (VB extend) (NP (NP (NP (CD one) (POS 's)) (NNS limbs) (CC or) (NNS muscles)) (, ,) (CC or) (NP (DT the) (JJ entire) (NN body))))))#
61	hyperextend	extend	joint	(S1 (S (VP (VB extend) (NP (NP (DT a) (NN joint)) (PP (IN beyond) (NP (PRP$ its) (JJ normal) (NN range)))))))#
62	smile	change	expression	(S1 (S (VP (VB change) (NP (NP (CD one) (POS 's)) (JJ facial) (NN expression)) (PP (IN by) (S (VP (VBG spreading) (NP (NP (DT the) (NNS lips)) (, ,) (SBAR (S (ADVP (RB often)) (VP (TO to) (VP (VB signal) (NP (NN pleasure)))))))))))))#
63	dimple	produce	dimples	(S1 (S (VP (VB produce) (NP (NNS dimples)) (SBAR (IN while) (S (VP (VBG smiling)))))))#
64	grin	reveal	teeth	(S1 (S (S (VP (TO to) (VP (VP (VB draw) (PRT (RP back)) (NP (DT the) (NNS lips))) (CC and) (VP (VB reveal) (NP (DT the) (NNS teeth)))))) (, ,) (PP (IN in) (NP (DT a) (NN smile))) (, ,) (VP (VP (VB grimace)) (, ,) (CC or) (VP (VB snarl)))))#
65	beam	express	joy	(S1 (S (S (VP (VBP smile) (ADVP (RB radiantly)))) (: ;) (S (VP (VB express) (NP (NN joy)) (PP (IN through) (NP (NP (CD one) (POS 's)) (JJ facial) (NN expression)))))))#
66	bellylaugh	laugh	laugh	(S1 (S (VP (VB laugh) (NP (DT a) (JJ deep) (, ,) (JJ hearty) (NN laugh)))))#
67	cackle	emit	kind	(S1 (S (VP (VB emit) (NP (NP (DT a) (JJ loud) (, ,) (JJ unpleasant) (NN kind)) (PP (IN of) (NP (VBG laughing)))))))#
68	frown	signal	disapproval	(S1 (S (VP (VP (VB look) (ADJP (JJ angry) (CC or) (JJ sullen))) (, ,) (VP (NN wrinkle) (NP (NP (CD one) (POS 's)) (NN forehead))) (, ,) (SBAR (IN as) (IN if) (S (VP (TO to) (VP (VB signal) (NP (NN disapproval)))))))))#
69	glower	signal	disapproval	(S1 (S (VP (VP (VB look) (ADJP (JJ angry) (CC or) (JJ sullen))) (, ,) (VP (NN wrinkle) (NP (NP (CD one) (POS 's)) (NN forehead))) (, ,) (SBAR (IN as) (IN if) (S (VP (TO to) (VP (VB signal) (NP (NN disapproval)))))))))#
70	lour	signal	disapproval	(S1 (S (VP (VP (VB look) (ADJP (JJ angry) (CC or) (JJ sullen))) (, ,) (VP (NN wrinkle) (NP (NP (CD one) (POS 's)) (NN forehead))) (, ,) (SBAR (IN as) (IN if) (S (VP (TO to) (VP (VB signal) (NP (NN disapproval)))))))))#
71	lower	signal	disapproval	(S1 (S (VP (VP (VB look) (ADJP (JJ angry) (CC or) (JJ sullen))) (, ,) (VP (NN wrinkle) (NP (NP (CD one) (POS 's)) (NN forehead))) (, ,) (SBAR (IN as) (IN if) (S (VP (TO to) (VP (VB signal) (NP (NN disapproval)))))))))#
72	look	have	outward	(S1 (S (VP (VB have) (NP (NP (DT a) (JJ certain) (NN outward)) (CC or) (NP (JJ facial) (NN expression))))))#
73	shrug	raise	shoulders	(S1 (S (VP (VB raise) (NP (NP (CD one) (POS 's)) (NNS shoulders)) (S (VP (TO to) (VP (VB indicate) (NP (NN indifference) (CC or) (NN resignation))))))))#
74	clap	clap	hands	(S1 (S (VP (VB clap) (NP (NP (CD one) (POS 's)) (NNS hands)) (ADVP (RB together)))))#
75	spat	clap	hands	(S1 (S (VP (VB clap) (NP (NP (CD one) (POS 's)) (NNS hands)) (ADVP (RB together)))))#
76	grimace	contort	face	(S1 (S (VP (VB contort) (NP (NP (DT the) (NN face)) (SBAR (S (VP (TO to) (VP (VB indicate) (NP (DT a) (JJ certain) (ADJP (JJ mental) (CC or) (JJ emotional)) (NN state))))))))))#
77	pout	make	face	(S1 (S (VP (VP (VBP make) (NP (DT a) (JJ sad) (NN face))) (CC and) (VP (VBD thrust) (PRT (RP out)) (NP (NP (CD one) (POS 's)) (JJR lower) (NN lip))))))#
78	mop	make	face	(S1 (S (VP (VP (VBP make) (NP (DT a) (JJ sad) (NN face))) (CC and) (VP (VBD thrust) (PRT (RP out)) (NP (NP (CD one) (POS 's)) (JJR lower) (NN lip))))))#
79	mow	make	face	(S1 (S (VP (VP (VBP make) (NP (DT a) (JJ sad) (NN face))) (CC and) (VP (VBD thrust) (PRT (RP out)) (NP (NP (CD one) (POS 's)) (JJR lower) (NN lip))))))#
80	shower	take	body	(S1 (S (VP (VB take) (NP (NP (DT a) (VB shower)) (: ;) (S (VP (VB wash) (NP (NP (NP (CD one) (POS 's)) (NN body)) (PP (IN in) (NP (DT the) (VB shower))))))))))#
81	bathe	cleanse	body	(S1 (S (VP (VB cleanse) (NP (DT the) (JJ entire) (NN body)))))#
82	cleanse	clean	body	(S1 (S (VP (VB clean) (NP (NP (CD one) (POS 's)) (NN body) (CC or) (NNS parts)) (ADVP (RB thereof)) (, ,) (PP (IN as) (PP (IN by) (S (VP (VBG washing))))))))#
83	clean	clean	body	(S1 (S (VP (VB clean) (NP (NP (CD one) (POS 's)) (NN body) (CC or) (NNS parts)) (ADVP (RB thereof)) (, ,) (PP (IN as) (PP (IN by) (S (VP (VBG washing))))))))#
84	soap	rub	soap	(S1 (S (VP (VB rub) (NP (NN soap)) (ADVP (RB all) (RB over)) (, ,) (PP (ADVP (RB usually)) (IN with) (NP (NP (DT the) (NN purpose)) (PP (IN of) (NP (NN cleaning))))))))#
85	lather	rub	soap	(S1 (S (VP (VB rub) (NP (NN soap)) (ADVP (RB all) (RB over)) (, ,) (PP (ADVP (RB usually)) (IN with) (NP (NP (DT the) (NN purpose)) (PP (IN of) (NP (NN cleaning))))))))#
86	shave	remove	body	(S1 (S (VP (VB remove) (NP (NN body) (NN hair)) (PP (IN with) (NP (DT a) (NN razor))))))#
87	epilate	remove	body	(S1 (S (VP (VB remove) (NP (NN body) (NN hair)))))#
88	depilate	remove	body	(S1 (S (VP (VB remove) (NP (NN body) (NN hair)))))#
89	tonsure	shave	head	(S1 (S (VP (VB shave) (NP (NP (DT the) (NN head)) (PP (IN of) (NP (DT a) (ADJP (RB newly) (VBN inducted)) (NN monk)))))))#
90	douche	direct	spray	(S1 (S (VP (VB direct) (NP (NP (DT a) (NN spray)) (PP (IN of) (NP (NN water)))) (PP (IN into) (NP (DT a) (JJ bodily) (NN cavity))) (, ,) (PP (IN for) (S (VP (VBG cleaning)))))))#
91	slick	give	appearance	(S1 (S (VP (VB give) (NP (DT a) (ADJP (JJ smooth) (CC and) (JJ glossy)) (NN appearance)))))#
92	marcel	make	marcel	(S1 (S (VP (VB make) (NP (DT a) (NNP marcel)) (PP (IN in) (NP (NP (DT a) (NN woman) (POS 's)) (NN hair))))))#
93	wave	set	waves	(S1 (S (VP (VB set) (NP (NNS waves)) (PP (IN in)))))#
94	perm	give	wave	(S1 (S (VP (VB give) (NP (DT a) (JJ permanent) (NN wave)) (PP (TO to)))))#
95	mousse	apply	gel	(S1 (S (VP (VB apply) (NP (DT a) (VBG styling) (NN gel)) (PP (TO to)))))#
96	gel	apply	gel	(S1 (S (VP (VB apply) (NP (DT a) (VBG styling) (NN gel)) (PP (TO to)))))#
97	pomade	apply	pomade	(S1 (S (VP (VB apply) (NP (NN pomade)) (PP (TO to) (PRN (-LRB- -LRB-) (NN hair) (-RRB- -RRB-))))))#
98	tease	combing	ends	(S1 (S (NP (NNP ruffle)) (VP (PRN (-LRB- -LRB-) (NP (NP (CD one) (POS 's)) (NN hair)) (-RRB- -RRB-)) (PP (IN by) (S (VP (VBG combing) (NP (DT the) (NNS ends)) (PP (IN towards) (NP (DT the) (NN scalp))) (, ,) (PP (IN for) (NP (DT a) (JJ full) (NN effect)))))))))#
99	fluff	combing	ends	(S1 (S (NP (NNP ruffle)) (VP (PRN (-LRB- -LRB-) (NP (NP (CD one) (POS 's)) (NN hair)) (-RRB- -RRB-)) (PP (IN by) (S (VP (VBG combing) (NP (DT the) (NNS ends)) (PP (IN towards) (NP (DT the) (NN scalp))) (, ,) (PP (IN for) (NP (DT a) (JJ full) (NN effect)))))))))#
100	highlight	apply	highlighter	(S1 (S (VP (VB apply) (NP (DT a) (NN highlighter)) (PP (TO to) (NP (NP (CD one) (POS 's)) (NNS cheeks) (CC or) (NNS eyebrows))) (SBAR (IN in) (NN order) (S (VP (TO to) (VP (VB make) (S (NP (PRP them)) (ADJP (RBR more) (JJ prominent))))))))))#
101	lipstick	apply	lipstick	(S1 (S (VP (VB apply) (NP (NN lipstick)) (PP (TO to)))))#
102	rouge	applying	rouge	(S1 (S (VP (VBN redden) (PP (IN by) (S (VP (VBG applying) (NP (NNP rouge)) (PP (TO to))))))))#
103	condition	apply	conditioner	(S1 (S (VP (VB apply) (NP (NN conditioner)) (PP (TO to)) (SBAR (IN in) (NN order) (S (VP (TO to) (VP (VB make) (S (ADJP (JJ smooth) (CC and) (JJ shiny))))))))))#
104	talc	apply	powder	(S1 (S (VP (VB apply) (NP (JJ talcum) (NNP powder)) (PP (TO to) (NP (-LRB- -LRB-) (NP (NP (CD one) (POS 's)) (NN body)) (-RRB- -RRB-))))))#
105	manicure	shaping	nails	(S1 (S (S (VP (VB care) (PP (IN for) (NP (-LRB- -LRB-) (NP (NP (CD one) (POS 's)) (NN hand)) (-RRB- -RRB-))) (PP (IN by) (S (VP (VBG cutting) (CC and) (VBG shaping) (NP (DT the) (NNS nails))))))) (, ,) (FW etc) (. .)))#
106	barber	perform	services	(S1 (S (VP (VB perform) (NP (NP (DT the) (NNS services)) (PP (IN of) (NP (NP (DT a) (NN barber)) (: :) (S (VP (VB cut) (NP (NP (DT the) (NN hair) (NN and/or) (NN beard)) (PP (IN of)))))))))))#
107	pedicure	shaping	nails	(S1 (S (S (VP (VB care) (PP (IN for) (NP (NP (CD one) (POS 's)) (NNS feet))) (PP (IN by) (S (VP (VBG cutting) (CC and) (VBG shaping) (NP (DT the) (NNS nails))))))) (, ,) (FW etc) (. .)))#
108	perfume	apply	perfume	(S1 (S (VP (VB apply) (NP (NN perfume)) (PP (TO to)))))#
109	scent	apply	perfume	(S1 (S (VP (VB apply) (NP (NN perfume)) (PP (TO to)))))#
110	curry	give	appearance	(S1 (S (VP (VBP give) (NP (DT a) (JJ neat) (NN appearance)) (PP (TO to)))))#
111	hat	wear	hat	(S1 (S (VP (VP (VB put) (PRT (RP on))) (CC or) (VP (VB wear) (NP (DT a) (NN hat))))))#
112	wear	show	appearance	(S1 (S (VP (VB have) (CC or) (VB show) (NP (NP (DT an) (NN appearance)) (PP (IN of))))))#
113	clothe	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
114	enclothe	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
115	garb	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
116	raiment	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
117	tog	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
118	garment	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
119	habilitate	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
120	apparel	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
121	jacket	put	jacket	(S1 (S (VP (VB put) (NP (DT a) (NN jacket)) (PP (IN on)))))#
122	frock	put	frock	(S1 (S (VP (VB put) (NP (DT a) (NN frock)) (PP (IN on)))))#
123	shirt	put	shirt	(S1 (S (VP (VB put) (NP (DT a) (NN shirt)) (PP (IN on)))))#
124	habit	put	habit	(S1 (S (VP (VB put) (NP (DT a) (NN habit)) (PP (IN on)))))#
125	inseminate	introduce	semen	(S1 (S (VP (VB introduce) (NP (NNS semen)) (PP (IN into) (NP (-LRB- -LRB-) (NP (DT a) (NN female)) (-RRB- -RRB-))))))#
126	fecundate	introduce	semen	(S1 (S (VP (VB introduce) (NP (NNS semen)) (PP (IN into) (NP (-LRB- -LRB-) (NP (DT a) (NN female)) (-RRB- -RRB-))))))#
127	fertilize	introduce	semen	(S1 (S (VP (VB introduce) (NP (NNS semen)) (PP (IN into) (NP (-LRB- -LRB-) (NP (DT a) (NN female)) (-RRB- -RRB-))))))#
128	fertilise	introduce	semen	(S1 (S (VP (VB introduce) (NP (NNS semen)) (PP (IN into) (NP (-LRB- -LRB-) (NP (DT a) (NN female)) (-RRB- -RRB-))))))#
129	cross-fertilize	undergo	cross-fertilization	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB undergo) (NP (NN cross-fertilization))))))))#
130	cross-fertilise	undergo	cross-fertilization	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB undergo) (NP (NN cross-fertilization))))))))#
131	pollinate	transfering	pollen	(S1 (S (VP (VB fertilize) (PP (IN by) (S (VP (VBG transfering) (NP (NN pollen))))))))#
132	pollenate	transfering	pollen	(S1 (S (VP (VB fertilize) (PP (IN by) (S (VP (VBG transfering) (NP (NN pollen))))))))#
133	cross-pollinate	transfering	pollen	(S1 (S (VP (VB fertilize) (PP (IN by) (S (VP (VBG transfering) (NP (NN pollen))))))))#
134	conceive	undergo	conception	(S1 (S (VP (VP (VB become) (ADJP (JJ pregnant))) (: ;) (VP (VBP undergo) (NP (NN conception))))))#
135	reproduce	have	offspring	(S1 (S (VP (VP (VB have) (NP (NN offspring))) (CC or) (VP (VB produce) (NP (NP (JJR more) (NNS individuals)) (PP (IN of) (NP (DT a) (VBN given) (NN animal) (CC or) (NN plant))))))))#
136	procreate	have	offspring	(S1 (S (VP (VP (VB have) (NP (NN offspring))) (CC or) (VP (VB produce) (NP (NP (JJR more) (NNS individuals)) (PP (IN of) (NP (DT a) (VBN given) (NN animal) (CC or) (NN plant))))))))#
137	multiply	have	offspring	(S1 (S (VP (VP (VB have) (NP (NN offspring))) (CC or) (VP (VB produce) (NP (NP (JJR more) (NNS individuals)) (PP (IN of) (NP (DT a) (VBN given) (NN animal) (CC or) (NN plant))))))))#
138	fructify	bear	fruit	(S1 (S (VP (VB bear) (NP (NN fruit)))))#
139	breed	have	animals	(S1 (S (VP (VP (VB have) (NP (JJ young) (-LRB- -LRB-) (NNS animals) (-RRB- -RRB-))) (CC or) (VP (VB reproduce) (NP (-LRB- -LRB-) (NNS organisms) (-RRB- -RRB-))))))#
140	labor	undergo	efforts	(S1 (S (VP (VB undergo) (NP (NP (DT the) (NNS efforts)) (PP (IN of) (NP (NN childbirth)))))))#
141	labour	undergo	efforts	(S1 (S (VP (VB undergo) (NP (NP (DT the) (NNS efforts)) (PP (IN of) (NP (NN childbirth)))))))#
142	twin	give	birth	(S1 (S (VP (VB give) (NP (NN birth)) (PP (TO to) (NP (NNP twins))))))#
143	foal	give	birth	(S1 (S (VP (VB give) (NP (NN birth)) (PP (TO to) (NP (DT a) (NN foal))))))#
144	cub	give	birth	(S1 (S (VP (VB give) (NP (NN birth)) (PP (TO to) (NP (NNS cubs))))))#
145	kitten	have	kittens	(S1 (S (VP (VB have) (NP (NNS kittens)))))#
146	lamb	give	birth	(S1 (S (VP (VB give) (NP (NN birth)) (PP (TO to) (NP (DT a) (NNP lamb))))))#
147	litter	give	birth	(S1 (S (VP (VB give) (NP (NN birth)) (PP (TO to) (NP (NP (DT a) (NN litter)) (PP (IN of) (NP (NNS animals))))))))#
148	farrow	give	birth	(S1 (VP (VB give) (NP (NN birth))))#
149	pig	give	birth	(S1 (VP (VB give) (NP (NN birth))))#
150	fawn	have	fawns	(S1 (S (VP (VB have) (NP (NNS fawns)))))#
151	miscarry	suffer	miscarriage	(S1 (S (VP (VB suffer) (NP (DT a) (NN miscarriage)))))#
152	abort	terminate	pregnancy	(S1 (S (VP (VB terminate) (NP (DT a) (NN pregnancy)) (PP (IN by) (S (VP (VBG undergoing) (NP (DT an) (NN abortion))))))))#
153	alter	remove	ovaries	(S1 (S (VP (VB remove) (NP (DT the) (NNS ovaries)) (PP (IN of)))))#
154	neuter	remove	ovaries	(S1 (S (VP (VB remove) (NP (DT the) (NNS ovaries)) (PP (IN of)))))#
155	spay	remove	ovaries	(S1 (S (VP (VB remove) (NP (DT the) (NNS ovaries)) (PP (IN of)))))#
156	castrate	remove	ovaries	(S1 (S (VP (VB remove) (NP (DT the) (NNS ovaries)) (PP (IN of)))))#
157	defeminize	remove	ovaries	(S1 (S (VP (VB remove) (NP (NP (DT the) (NNS ovaries)) (PP (IN of) (-LRB- -LRB-) (NP (NP (JJ female) (NNS mammals)) (PP (JJ such) (IN as) (NP (NNS cats)))) (-RRB- -RRB-))))))#
158	defeminise	remove	ovaries	(S1 (S (VP (VB remove) (NP (NP (DT the) (NNS ovaries)) (PP (IN of) (-LRB- -LRB-) (NP (NP (JJ female) (NNS mammals)) (PP (JJ such) (IN as) (NP (NNS cats)))) (-RRB- -RRB-))))))#
